"Product","Submission"
"Forxiga",2020-12-17
"Besremi",2020-12-16
"Leukine",2020-12-15
"Afinitor",2020-12-14
"Nexavar",2020-12-11
"Tresiba",2020-12-08
"Imbruvica",2020-12-07
"Ofev",2020-12-04
"Stivarga",2020-12-04
"Nerlynx",2020-12-04
"Rozerem",2020-12-02
"Cystagon",2020-12-01
"Alunbrig",2020-12-01
"Prialt",2020-12-01
"Enbrel",2020-12-01
"Kadcyla",2020-12-01
"Riximyo",2020-11-26
"Vitrakvi",2020-11-26
"Erbitux",2020-11-25
"Erbitux",2020-11-25
"Jakavi",2020-11-25
"Cabometyx",2020-11-24
"Ozempic",2020-11-24
"Lynparza",2020-11-24
"Imbruvica",2020-11-24
"Lenvima",2020-11-23
"Venclyxto",2020-11-23
"Opdivo",2020-11-20
"Zejula",2020-11-20
"Cuprior",2020-11-16
"Jakavi",2020-11-16
"Jakavi",2020-11-16
"Opdivo",2020-11-13
"Reblozyl",2020-11-10
"Revlimid",2020-11-09
"Firazyr",2020-11-06
"Opdivo",2020-11-06
"Entyvio",2020-11-05
"Imbruvica",2020-11-06
"Pentatop",2020-11-05
"Lenvima",2020-11-04
"Zejula",2020-11-03
"Keytruda",2020-10-29
"Xospata",2020-10-29
"Xospata",2020-10-29
"Keytruda",2020-10-22
"Xospata",2020-10-29
"Ibrance",2020-10-23
"Avastin",2020-10-28
"Talicia",2020-10-19
"Xgeva",2020-10-20
"L-Citrulline",2020-10-14
"Glycosade",2020-10-12
"Jinarc",2020-10-13
"Xtandi",2020-10-12
"Nubeqa",2020-10-09
"Keytruda",2020-10-12
"Reblozyl",2020-10-09
"Revlimid",2020-10-07
"Xospata",2020-10-08
"Torisel",2020-10-07
"Mabthera",2020-10-07
"Lemtrada",2020-10-07
"Zytiga",2020-10-07
"Repatha",2020-10-07
"Sprycel",2020-10-05
"Jakavi",2020-10-05
"Tagrisso",2020-10-05
"Revlimid",2020-09-30
"Keytruda",2020-09-17
"Opdivo",2020-09-17
"Entyvio",2020-09-15
"Tagrisso",2020-09-30
"Opdivo",2020-09-30
"Kymriah",2020-09-25
"Kymriah",2020-09-25
"Stelara",2020-09-25
"Stelara",2020-09-30
"Perjeta",2020-09-23
"Opdivo",2020-09-21
"Xgeva",2020-09-21
"Libtayo",2020-09-21
"Libtayo",2020-09-21
"Beovu",2020-09-15
"Yervoy",2020-09-15
"Opdivo",2020-09-15
"Nerlynx",2020-09-11
"Ofev",2020-09-11
"Lenvima",2020-09-11
"Revlimid",2020-09-09
"Stivarga",2020-09-09
"Lynparza",2020-09-09
"Lenvima",2020-09-10
"Tagrisso",2020-09-04
"Nexavar",2020-09-04
"Idelvion",2020-09-02
"Imbruvica",2020-09-02
"Mayzent",2020-08-28
"Mayzent",2020-08-28
"Keytruda",2020-08-28
"Sutent",2020-08-27
"Mayzent",2020-08-26
"Libtayo",2020-08-26
"Revlimid",2020-08-26
"Jakavi",2020-08-25
"Abraxane",2020-08-24
"Tecentriq",2020-08-24
"Abraxane",2020-08-19
"Mabthera",2020-08-21
"Lenvima",2020-08-14
"Opdivo",2020-08-14
"Libtayo",2020-08-19
"Nexavar",2020-08-17
"Yervoy",2020-08-17
"Opdivo",2020-08-17
"Soliris",2020-08-12
"Cabometyx",2020-08-12
"VaxigripTetra",2020-08-12
"Vectibix",2020-08-10
"Lonsurf",2020-08-11
"Lenvima",2020-08-11
"Tafinlar",2020-08-10
"Mekinist",2020-08-10
"Hyrimoz",2020-08-06
"Vitrakvi",2020-08-06
"Mabthera",2020-08-05
"Dupixent",2020-07-23
"Inlyta",2020-07-23
"Emgality",2020-07-23
"Opdivo",2020-07-27
"Tecentriq",2020-07-27
"Abraxane",2020-07-27
"Revlimid",2020-07-27
"Zejula",2020-07-27
"Imbruvica",2020-07-17
"Venclyxto",2020-07-16
"Keytruda",2020-07-10
"Tabrecta",2020-07-10
"Nerlynx",2020-07-06
"Tagrisso",2020-07-06
