"Product","Submission"
"Venclyxto 100 mg film-coated tablets, 112x",2019-12-03
"Synagis 100 mg/ml solution for injection, 1x0,5ml injection vial",2019-12-07
"Keytruda 25mg/ml concentrate for solution, 1x",2019-12-08
"Keytruda 25mg/ml concentrate for solution, 1x",2019-12-18
"Jivi 500ne powder and solvent for solution for injection 1x",2019-12-18
"Cabometyx 20mg film-coated tablets, 30x",2019-12-18
"Kymriah 1,2x10^6-6x10^8 cells dispersion for infusion",2019-12-20
"Clexane 2000 ne (20 mg)/0,2 ml solution for injection in pre-filled syringe, 10x",2019-12-20
"Clexane 4000 ne (40 mg)/0,4 ml solution for injection in pre-filled syringe, 10x",2019-12-20
"Clexane 6000 ne (60 mg)/0,6 ml solution for injection in pre-filled syringe, 10x",2019-12-20
"Clexane 8000 ne (80 mg)/0,8 ml solution for injection in pre-filled syringe, 10x",2019-12-20
"Clexane 10 000 ne (100 mg)/1 ml solution for injection in pre-filled syringe, 10x",2019-12-20
"Clexane forte 12 000 ne (120 mg)/0,8 ml solution for injection in pre-filled syringe, 10x",2019-12-20
"Clexane forte 15 000 ne (150 mg)/1 ml solution for injection in pre-filled syringe, 10x",2019-12-20
"Fampyra 10 mg retard  tablets, 2x14 in blister",2019-12-20
"Fampyra 10 mg retard  tablets, 4x14 in blister",2019-12-20
"Lutathera 370 mbq/ml solution for infusion, 1x injection vial",2019-12-21
"Ajovy 225 mg solution for injection in pre-filled syringe, 1x",2020-01-09
"Fiasp 100egység/ml solution for injection injection vial 1x10ml",2020-01-14
"Fiasp 100egység/ml solution for injection in pre-filled pen",2020-01-14
"Cetrotide 0,25 mg powder and solvent for solution for injection, 1x",2020-01-22
"Gonapeptyl 0,1 mg/ml solution for injection, 7x",2020-01-22
"Prolutex 25 mg solution for injection, 7x",2020-01-23
"Imbruvica 140mg hard capsule 90x",2020-01-23
"Chorapur 5000 ne powder and solvent for solution for injection, 3x",2020-01-31
"Suprefact solution for injection, 1x5,5 ml",2020-01-31
"Dexamethason krka 4 mg tablets, 50x in blister",2020-01-31
"Milurit 300 mg tablets, 30x",2020-02-11
"Gonapeptyl 0,1 mg/ml solution for injection, 7x",2020-02-13
"Utrogestan 200 mg lágy hüvelycapsule, 15x",2020-02-13
"Tresuvi 2,5 mg/ml solution for infusion",2020-02-15
"Fraxiparine 3800 ne/0,4 ml solution for injection 10x",2020-02-21
"Fraxiparine 5700 ne/0,6 ml solution for injection 10x",2020-02-21
"Fraxiparine 7600 ne/0,8 ml solution for injection 10x",2020-02-21
"Fraxiparine 9500 ne/1,0 ml solution for injection 10x",2020-02-21
"Fraxodi 11 400 ne/0,6 ml solution for injection 10x",2020-02-21
"Fraxodi 15 200 ne/0,8 ml solution for injection 10x",2020-02-21
"Fraxodi 19 000 ne/1,0 ml solution for injection 10x",2020-02-21
"Prohance 0,5 mmol/ml solution for injection, 1x20ml",2020-02-29
"Cutaquig 165 mg/ml solution for injection, 1x6 ml",2020-02-29
"Darzalex 20mg/ml koncentrátum oldatos infuzióhoz 1x5ml injection vial",2020-03-05
"Darzalex 20mg/ml koncentrátum oldatos infuzióhoz 1x20ml injection vial",2020-03-05
"Utrogestan 100mg hüvelycapsule 30x",2020-03-06
"Beriplex p/n 1000 powder and solvent for solution for injection 1x",2020-03-06
"Ferinject 50 mg vas/ml solution for injection or infusion 1x10ml injection vial",2020-03-06
"Utrogestan 200mg lágy hüvelycapsule 15x",2020-03-07
"Lorviqua 25 mg film-coated tablets, 90x",2020-03-12
"Lorviqua 100 mg film-coated tablets, 30x",2020-03-12
"Keytruda 25mg/ml concentrate for solution, 1x",2020-03-20
"Liticarb 500mg tablets 20x",2020-03-24
"Orkambi100mg/125mg film-coated tablets, 112x",2020-03-31
"Orkambi100mg/125mg granulátum, 56x tasak",2020-03-31
"Rinvoq 15mg retard tablets 28x",2020-04-01
