"Product","Submission"
"Ofev ()",2020-12-11
"Takhryzo (D84.1)",2020-11-05
"Gazyvaro (C82)",2020-10-29
"Venclyxto (C91.1)",2020-10-15
"Mayzent (G35)",2020-10-13
"Nubeqa (C61)",2020-09-30
"Ofev (M34.0, J84.8)",2020-09-30
"Giotrif (C34)",2020-09-01
"Ibrance (C50)",2020-08-05
"Kisqali (C50)",2020-07-27
"Lynparza (C56, C57.0, C48)",2020-07-23
"Spravato ()",2020-07-17
"Kadcyla (C50)",2020-06-22
"Ibrance (C50)",2020-06-18
"Stelara (K51.0, K51.9)",2020-06-05
"Tafinlar/Mekinist (C43)",2020-06-03
"Polivy (C83.3)",2020-05-20
"Xeljanz (M07)",2020-05-25
"Xeljanz (K51)",2020-05-25
"Keytruda (C34)",2020-05-06
"Reagila (F20)",2020-04-29
"Zejula (-)",2020-04-08
"Ajovy (G43)",2020-04-01
"Lenalidomide Alvogen (C90.0)",2020-03-02
"Lenvima (C73)",2019-12-30
